ar,en,ru,ref
"إِنَّ ٱللَّهَ مَعَ ٱلصَّـٰبِرِينَ","Indeed, Allah is with the patient.","Воистину, Аллах с терпеливыми.","2:153"
"أَلَا بِذِكْرِ ٱللَّهِ تَطْمَئِنُّ ٱلْقُلُوبُ","Unquestionably, by the remembrance of Allah hearts are assured.","Поистине, в поминании Аллаха находят покой сердца.","13:28"
"فَإِنَّ مَعَ ٱلْعُسْرِ يُسْرًا","For indeed, with hardship [will be] ease.","Ибо за тягостью следует облегчение.","94:5"
"وَرَحْمَتِى وَسِعَتْ كُلَّ شَىْءٍ","But My mercy encompasses all things.","Но Моя милость объемлет всякую вещь.","7:156"
"قُلْ يَـٰعِبَادِىَ ٱلَّذِينَ أَسْرَفُوا۟ عَلَىٰٓ أَنفُسِهِمْ لَا تَقْنَطُوا۟ مِن رَّحْمَةِ ٱللَّهِ","Say, \"O My servants who have transgressed against themselves, do not despair of the mercy of Allah.\"","Скажи: «О рабы Мои, которые преступили против самих себя! Не отчаивайтесь в милости Аллаха».","39:53"
"ٱللَّهُ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلْحَىُّ ٱلْقَيُّومُ","Allah – there is no deity except Him, the Ever-Living, the Sustainer of existence.","Аллах — нет божества, кроме Него, Живого, Вседержителя.","2:255"
"وَهُوَ مَعَكُمْ أَيْنَ مَا كُنتُمْ","And He is with you wherever you are.","И Он с вами, где бы вы ни были.","57:4"
"إِنَّ ٱللَّهَ لَا يُضِيعُ أَجْرَ ٱلْمُحْسِنِينَ","Indeed, Allah does not allow to be lost the reward of the doers of good.","Поистине, Аллах не губит награды творящих добро.","9:120"
"وَتَوَكَّلْ عَلَى ٱللَّهِ ۚ وَكَفَىٰ بِٱللَّهِ وَكِيلًا","And rely upon Allah; and sufficient is Allah as Disposer of affairs.","И уповай на Аллаха — довольно Аллаха как Покровителя.","33:3"
"إِنَّ مَعَ ٱلْعُسْرِ يُسْرًا","Indeed, with hardship [will be] ease.","Поистине, за тягостью следует облегчение.","94:6"
"وَٱللَّهُ غَفُورٌ رَّحِيمٌ","And Allah is Forgiving and Merciful.","И Аллах — Прощающий, Милосердный.","2:173"
"رَّبِّ زِدْنِى عِلْمًا","My Lord, increase me in knowledge.","Господи! Умножь мои знания.","20:114"
"وَمَن يَتَّقِ ٱللَّهَ يَجْعَل لَّهُۥ مَخْرَجًا","And whoever fears Allah – He will make for him a way out.","И тому, кто боится Аллаха, Он устроит выход.","65:2"
"حَسْبُنَا ٱللَّهُ وَنِعْمَ ٱلْوَكِيلُ","Sufficient for us is Allah, and [He is] the best Disposer of affairs.","Довольно нам Аллаха — прекрасный Он Покровитель.","3:173"
"إِنَّ ٱللَّهَ يُحِبُّ ٱلْمُتَوَكِّلِينَ","Indeed, Allah loves those who rely [upon Him].","Поистине, Аллах любит уповающих.","3:159"
"فَٱذْكُرُونِىٓ أَذْكُرْكُمْ","So remember Me; I will remember you.","Поминайте Меня — и Я буду помнить о вас.","2:152"
"لَا يُكَلِّفُ ٱللَّهُ نَفْسًا إِلَّا وُسْعَهَا","Allah does not burden a soul beyond that it can bear.","Аллах не возлагает на душу сверх ее возможностей.","2:286"
"إِنَّ رَبِّى قَرِيبٌ مُّجِيبٌ","Indeed, my Lord is near and responsive.","Поистине, мой Господь близок, отвечающий.","11:61"
"وَهُوَ ٱلْغَفُورُ ٱلْوَدُودُ","And He is the Forgiving, the Affectionate.","Он — Прощающий, Любящий.","85:14"
"إِنَّ ٱللَّهَ مَعَنَا","Indeed, Allah is with us.","Поистине, Аллах с нами.","9:40"
"إِنَّ ٱللَّهَ يُحِبُّ ٱلتَّوَّٰبِينَ","Indeed, Allah loves those who are constantly repentant.","Поистине, Аллах любит кающихся.","2:222"
"وَٱصْبِرْ ۖ وَمَا صَبْرُكَ إِلَّا بِٱللَّهِ","And be patient, and your patience is not but through Allah.","Терпи, и терпение твое — только от Аллаха.","16:127"
"رَّبُّكُمُ ٱلْأَعْلَىٰ","Your Lord is the Most High.","Господь ваш — Всевышний.","79:24"
"إِنَّ ٱللَّهَ لَطِيفٌۢ بِعِبَادِهِۦ","Indeed, Allah is Gentle with His servants.","Поистине, Аллах добр к Своим рабам.","42:19"
"قَالَ رَبِّ ٱشْرَحْ لِى صَدْرِى","He said, \"My Lord, expand for me my breast [with assurance].\"","Он сказал: «Господи! Раскрой мне грудь мою».","20:25"
"وَمَا ٱللَّهُ يُرِيدُ ظُلْمًا لِّلْعَـٰلَمِينَ","And Allah wants no injustice to the worlds.","Аллах не желает несправедливости мирам.","3:108"
"إِنَّ رَبَّكَ وَٰسِعُ ٱلْمَغْفِرَةِ","Indeed, your Lord is vast in forgiveness.","Поистине, Господь твой — безграничен в прощении.","53:32"
"وَٱللَّهُ سَمِيعٌ عَلِيمٌ","And Allah is Hearing and Knowing.","Аллах — Слышащий, Знающий.","2:256"
